,Sexo;Edad;Tasa de riesgo de pobreza con umbral fijo año 2008;Periodo;Total
Ambos sexos;Menos de 18 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2018;30,3.0
Ambos sexos;Menos de 18 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2017;33,
Ambos sexos;Menos de 18 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2016;36,1.0
Ambos sexos;Menos de 18 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2015;37,6.0
Ambos sexos;Menos de 18 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2014;39,3.0
Ambos sexos;Menos de 18 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2013;35,8.0
Ambos sexos;Menos de 18 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2012;33,1.0
Ambos sexos;Menos de 18 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2011;31,2.0
Ambos sexos;Menos de 18 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2010;29,2.0
Ambos sexos;Menos de 18 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2009;28,2.0
Ambos sexos;Menos de 18 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2008;27,3.0
Ambos sexos;Menos de 18 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2023;28,2.0
Ambos sexos;Menos de 18 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2022;26,4.0
Ambos sexos;Menos de 18 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2021;29,5.0
Ambos sexos;Menos de 18 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2020;28,1.0
Ambos sexos;Menos de 18 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2019;30,4.0
Ambos sexos;Menos de 18 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2018;29,2.0
Ambos sexos;Menos de 18 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2017;31,3.0
Ambos sexos;Menos de 18 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2016;35,7.0
Ambos sexos;Menos de 18 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2015;37,2.0
Ambos sexos;Menos de 18 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2014;38,5.0
Ambos sexos;Menos de 18 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2013;36,2.0
Ambos sexos;Menos de 18 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2012;33,7.0
Ambos sexos;Menos de 18 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2011;30,8.0
Ambos sexos;Menos de 18 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2010;27,8.0
Ambos sexos;Menos de 18 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2009;28,6.0
Ambos sexos;Menos de 18 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2008;28,
Ambos sexos;De 18 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2023;18,3.0
Ambos sexos;De 18 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2022;19,
Ambos sexos;De 18 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2021;21,9.0
Ambos sexos;De 18 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2020;20,6.0
Ambos sexos;De 18 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2019;23,8.0
Ambos sexos;De 18 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2018;24,9.0
Ambos sexos;De 18 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2017;25,9.0
Ambos sexos;De 18 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2016;29,
Ambos sexos;De 18 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2015;29,5.0
Ambos sexos;De 18 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2014;30,5.0
Ambos sexos;De 18 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2013;27,3.0
Ambos sexos;De 18 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2012;24,7.0
Ambos sexos;De 18 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2011;21,5.0
Ambos sexos;De 18 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2010;18,
Ambos sexos;De 18 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2009;16,5.0
Ambos sexos;De 18 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2008;16,5.0
Ambos sexos;De 18 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2023;16,4.0
Ambos sexos;De 18 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2022;16,6.0
Ambos sexos;De 18 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2021;19,6.0
Ambos sexos;De 18 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2020;18,8.0
Ambos sexos;De 18 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2019;22,
Ambos sexos;De 18 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2018;22,6.0
Ambos sexos;De 18 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2017;23,2.0
Ambos sexos;De 18 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2016;26,8.0
Ambos sexos;De 18 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2015;28,1.0
Ambos sexos;De 18 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2014;28,3.0
Ambos sexos;De 18 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2013;26,2.0
Ambos sexos;De 18 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2012;23,3.0
Ambos sexos;De 18 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2011;19,9.0
Ambos sexos;De 18 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2010;16,2.0
Ambos sexos;De 18 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2009;15,4.0
Ambos sexos;De 18 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2008;15,4.0
Hombres;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2023;19,4.0
Hombres;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2022;19,8.0
Hombres;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2021;22,2.0
Hombres;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2020;20,9.0
Hombres;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2019;23,8.0
Hombres;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2018;24,4.0
Hombres;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2017;25,5.0
Hombres;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2016;28,9.0
Hombres;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2015;29,8.0
Hombres;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2014;30,4.0
Hombres;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2013;28,3.0
Hombres;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2012;25,4.0
Hombres;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2011;22,7.0
Hombres;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2010;19,9.0
Hombres;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2009;18,7.0
Hombres;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2008;18,4.0
Hombres;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2023;17,1.0
Hombres;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2022;16,7.0
Hombres;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2021;19,4.0
Hombres;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2020;18,8.0
Hombres;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2019;21,3.0
Hombres;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2018;21,5.0
Hombres;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2017;22,2.0
Hombres;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2016;26,
Hombres;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2015;27,4.0
Hombres;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2014;27,5.0
Hombres;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2013;26,6.0
Hombres;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2012;23,6.0
Hombres;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2011;20,3.0
Hombres;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2010;17,2.0
Hombres;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2009;16,9.0
Hombres;Total;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2008;16,5.0
Hombres;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2023;29,
Hombres;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2022;28,4.0
Hombres;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2021;30,5.0
Hombres;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2020;28,6.0
Hombres;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2019;30,3.0
Hombres;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2018;28,9.0
Hombres;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2017;32,7.0
Hombres;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2016;34,8.0
Hombres;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2015;37,4.0
Hombres;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2014;39,
Hombres;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2013;37,3.0
Hombres;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2012;31,4.0
Hombres;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2011;29,9.0
Hombres;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2010;27,9.0
Hombres;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2009;28,6.0
Hombres;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2008;25,5.0
Hombres;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2023;29,
Hombres;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2022;26,9.0
Hombres;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2021;29,7.0
Hombres;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2020;29,
Hombres;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2019;28,6.0
Hombres;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2018;27,4.0
Hombres;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2017;31,
Hombres;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2016;34,8.0
Hombres;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2015;37,2.0
Hombres;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2014;38,5.0
Hombres;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2013;37,8.0
Hombres;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2012;32,8.0
Hombres;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2011;29,8.0
Hombres;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2010;26,4.0
Hombres;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2009;28,9.0
Hombres;Menores de 16 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2008;26,2.0
Hombres;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2023;21,7.0
Hombres;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2022;22,8.0
Hombres;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2021;25,4.0
Hombres;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2020;23,4.0
Hombres;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2019;28,
Hombres;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2018;29,1.0
Hombres;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2017;31,
Hombres;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2016;36,2.0
Hombres;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2015;37,2.0
Hombres;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2014;36,6.0
Hombres;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2013;31,9.0
Hombres;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2012;29,3.0
Hombres;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2011;23,1.0
Hombres;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2010;19,5.0
Hombres;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2009;16,3.0
Hombres;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2008;16,3.0
Hombres;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2023;19,9.0
Hombres;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2022;20,2.0
Hombres;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2021;24,
Hombres;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2020;22,7.0
Hombres;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2019;28,
Hombres;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2018;28,3.0
Hombres;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2017;28,1.0
Hombres;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2016;34,7.0
Hombres;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2015;36,
Hombres;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2014;34,6.0
Hombres;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2013;31,7.0
Hombres;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2012;28,7.0
Hombres;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2011;23,
Hombres;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2010;19,5.0
Hombres;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2009;16,1.0
Hombres;De 16 a 29 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2008;16,8.0
Hombres;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2023;16,5.0
Hombres;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2022;17,2.0
Hombres;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2021;21,
Hombres;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2020;18,2.0
Hombres;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2019;21,2.0
Hombres;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2018;20,6.0
Hombres;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2017;22,5.0
Hombres;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2016;27,5.0
Hombres;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2015;27,6.0
Hombres;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2014;29,3.0
Hombres;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2013;28,
Hombres;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2012;24,2.0
Hombres;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2011;21,5.0
Hombres;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2010;18,6.0
Hombres;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2009;16,5.0
Hombres;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2008;16,6.0
Hombres;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2023;16,1.0
Hombres;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2022;16,1.0
Hombres;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2021;19,9.0
Hombres;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2020;17,5.0
Hombres;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2019;20,4.0
Hombres;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2018;19,4.0
Hombres;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2017;20,9.0
Hombres;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2016;25,8.0
Hombres;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2015;26,6.0
Hombres;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2014;28,6.0
Hombres;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2013;28,1.0
Hombres;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2012;24,4.0
Hombres;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2011;20,4.0
Hombres;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2010;17,
Hombres;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2009;16,3.0
Hombres;De 30 a 44 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (con alquiler imputado) (renta del año anterior a la entrevista);2008;16,6.0
Hombres;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2023;17,5.0
Hombres;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2022;17,7.0
Hombres;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2021;20,5.0
Hombres;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2020;19,8.0
Hombres;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2019;22,6.0
Hombres;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2018;25,
Hombres;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2017;24,9.0
Hombres;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2016;27,8.0
Hombres;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2015;28,4.0
Hombres;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2014;28,6.0
Hombres;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2013;25,5.0
Hombres;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2012;23,2.0
Hombres;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2011;20,1.0
Hombres;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2010;17,
Hombres;De 45 a 64 años;Tasa de riesgo de pobreza con umbral fijo año 2008 (renta del año anterior a la entrevista);2009;15,4.0
