Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Muscle_Mass_Percentage,BMR,BMI_Status,Fat_Status,Age_Group,Combined_Status,Muscle_Status,Interpretation,Incongruence_Flag
41,Male,47.1,1.78,165,149,65,1.26,929.0,Yoga,24.7,2.4,3,1,14.87,30.12,1340,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
46,Female,62.5,1.54,197,125,73,1.61,906.0,Strength,18.1,2.7,4,3,26.35,36.855,1303,Overweight,Low Fat (Consider increasing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Athlete,High muscle mass,Incongruent: High BMI with Low Fat (Possible high muscle mass or error)
40,Male,68.9,1.99,180,149,51,1.16,951.0,Cardio,25.0,2.4,4,2,17.4,33.75,1739,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
33,Male,45.9,1.89,193,144,50,1.45,1148.0,Cardio,21.6,2.9,3,2,12.85,39.2,1422,Underweight,High Fat (Consider reducing fat),Young (20-39),Unhealthy BMI & Unhealthy Fat,Athlete,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
57,Female,64.4,1.56,177,144,73,1.52,985.0,Cardio,17.8,2.7,5,3,26.46,36.99,1279,Overweight,Low Fat (Consider increasing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Athlete,High muscle mass,Incongruent: High BMI with Low Fat (Possible high muscle mass or error)
49,Male,57.8,1.99,183,161,67,0.93,741.0,HIIT,24.7,3.1,3,1,14.6,30.12,1539,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
47,Male,45.9,1.93,166,159,65,1.29,1015.0,Cardio,29.6,2.0,3,2,12.32,31.679999999999996,1362,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
52,Male,47.8,1.86,179,129,67,1.01,645.0,Yoga,24.7,2.8,3,2,13.82,33.885000000000005,1326,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
39,Male,59.7,1.83,170,154,59,1.35,1143.0,Strength,29.1,2.3,4,2,17.83,35.449999999999996,1544,Underweight,High Fat (Consider reducing fat),Young (20-39),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
31,Male,70.2,1.98,199,129,61,0.71,504.0,Yoga,24.2,2.5,2,1,17.91,34.11,1803,Underweight,High Fat (Consider reducing fat),Young (20-39),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
45,Female,64.3,1.54,199,133,58,1.67,999.0,Yoga,15.3,2.7,4,3,27.11,38.115,1324,Overweight,Low Fat (Consider increasing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Athlete,High muscle mass,Incongruent: High BMI with Low Fat (Possible high muscle mass or error)
56,Male,58.7,1.86,187,159,65,1.09,858.0,Cardio,22.6,3.3,3,2,16.97,34.830000000000005,1449,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
30,Female,61.6,1.52,178,138,71,1.78,1228.0,Cardio,19.5,2.7,4,3,26.66,40.24999999999999,1358,Overweight,Low Fat (Consider increasing fat),Young (20-39),Unhealthy BMI & Unhealthy Fat,Athlete,High muscle mass,Incongruent: High BMI with Low Fat (Possible high muscle mass or error)
20,Female,44.2,1.61,177,122,69,1.08,659.0,HIIT,32.4,2.5,2,1,17.05,27.04,1268,Underweight,High Fat (Consider reducing fat),Young (20-39),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
39,Male,58.3,1.93,165,136,58,1.35,1010.0,Cardio,27.4,3.7,4,2,15.65,36.3,1574,Underweight,High Fat (Consider reducing fat),Young (20-39),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
51,Male,48.6,1.77,199,155,74,1.47,1128.0,Strength,26.9,3.5,2,1,15.51,29.24000000000001,1299,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Below Optimal (Consider increasing muscle mass),Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
53,Female,64.4,1.55,194,139,62,1.77,1107.0,HIIT,19.7,2.7,4,3,26.81,36.135,1293,Overweight,Low Fat (Consider increasing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Athlete,High muscle mass,Incongruent: High BMI with Low Fat (Possible high muscle mass or error)
19,Female,46.8,1.63,184,128,63,1.35,864.0,HIIT,34.4,1.6,4,2,17.61,29.520000000000003,1303,Underweight,High Fat (Consider reducing fat),Young (20-39),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
21,Female,51.0,1.71,174,132,73,1.07,706.0,HIIT,34.2,2.2,3,2,17.44,29.609999999999992,1358,Underweight,High Fat (Consider reducing fat),Young (20-39),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
55,Male,52.1,1.68,180,167,50,0.77,637.0,Yoga,23.6,3.0,3,1,18.46,30.56,1280,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
22,Female,61.8,1.52,169,166,61,1.83,1519.0,Yoga,17.0,2.7,5,3,26.75,41.5,1394,Overweight,Low Fat (Consider increasing fat),Young (20-39),Unhealthy BMI & Unhealthy Fat,Athlete,High muscle mass,Incongruent: High BMI with Low Fat (Possible high muscle mass or error)
26,Male,51.9,2.0,173,133,54,0.75,549.0,HIIT,26.6,2.3,2,1,12.97,33.03,1595,Underweight,High Fat (Consider reducing fat),Young (20-39),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
28,Male,58.3,2.0,198,135,65,1.32,980.0,Strength,28.2,3.0,4,2,14.57,35.9,1670,Underweight,High Fat (Consider reducing fat),Young (20-39),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
57,Male,55.7,1.99,170,126,70,1.13,705.0,Strength,23.6,3.0,3,2,14.07,34.38,1465,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
43,Male,46.2,1.63,176,139,65,1.18,812.0,Strength,21.7,2.1,2,1,17.39,31.320000000000004,1245,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
49,Male,57.2,1.89,192,135,62,1.14,762.0,Cardio,21.1,3.5,2,1,16.01,31.56,1483,Underweight,High Fat (Consider reducing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Optimal,Gain muscle mass and reduce body fat,Incongruent: Low BMI with High Fat (Possible lack of muscle or error)
40,Male,87.9,1.87,196,134,54,1.96,1445.0,Strength,10.7,3.5,5,3,25.14,44.65,1936,Overweight,Low Fat (Consider increasing fat),Adult (40-59),Unhealthy BMI & Unhealthy Fat,Athlete,High muscle mass,Incongruent: High BMI with Low Fat (Possible high muscle mass or error)
